course,code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
Raptor Cliff's,RCE,3,3,3,3,3,2,3,4,4,3,3,4,3,4,3,3,3,5,59
Raptor Cliff's - Hard,RCH,3,3,2,4,3,2,3,3,4,3,3,4,4,4,3,3,3,5,59
Seagull Stacks,SSE,2,3,3,4,2,5,4,3,3,4,3,3,4,3,5,3,3,5,62
Seagull Stacks - Hard,SSH,2,3,4,3,4,5,4,3,4,4,3,3,5,3,5,4,3,5,67
Shangri-La,SLE,2,3,3,4,4,3,4,3,3,4,3,5,3,5,4,3,3,5,64
Shangri-La - Hard,SLH,4,4,2,3,4,4,4,3,4,4,3,3,3,5,5,3,4,6,68
Sweetopia,SWE,2,3,4,3,3,2,4,4,3,3,3,3,3,3,3,3,2,4,55
Sweetopia - Hard,SWH,3,3,4,3,3,3,4,4,3,3,3,3,3,2,4,4,3,4,59
Temple at Zerzura,ZZE,3,4,3,4,3,5,4,3,3,3,3,3,4,4,3,3,3,5,63
Temple at Zerzura - Hard,ZZH,4,3,3,4,3,5,4,3,3,3,2,3,3,4,3,4,3,3,60
Tethys Station,TSE,2,3,3,4,3,3,4,5,3,3,3,4,3,4,3,4,5,4,63
Tethys Station - Hard,TSH,3,3,4,3,4,3,4,5,3,3,3,3,3,3,4,4,5,4,64
Tiki à Coco,TCE,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,2,55
Tiki à Coco - Hard,TCH,3,3,4,3,3,3,4,3,3,3,2,4,3,3,3,4,4,2,57
Tokyo,TOE,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,55
Tokyo - Hard,TOH,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,2,55
Tourist Trap,TTE,2,2,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,6,57
Tourist Trap - Hard,TTH,2,3,3,3,3,4,3,3,4,3,3,3,4,4,4,3,3,6,61
Upside Town,UTE,3,3,3,3,3,4,3,3,4,4,3,2,3,4,3,4,3,3,58
Upside Town - Hard,UTH,3,4,4,4,3,4,3,3,4,5,3,3,3,4,4,3,3,3,63
Venice,VNE,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,58
Venice - Hard,VNH,3,3,3,3,3,5,4,3,3,3,3,4,3,4,3,3,3,4,60
Viva Las Elvis,ELE,3,3,3,3,4,4,3,3,4,3,3,3,3,2,3,3,4,3,57
Viva Las Elvis - Hard,ELH,3,3,3,4,3,4,3,3,4,3,4,4,3,3,3,3,4,3,60
Wallace & Gromit,WGE,3,3,3,2,4,3,3,3,4,2,2,4,3,2,3,3,3,5,55
Wallace & Gromit - Hard,WGH,2,3,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,4,55
Widow’s Walkabout,WWE,3,3,3,3,4,4,3,3,5,3,4,3,4,4,3,2,3,4,61
Widow’s Walkabout - Hard,WWH,3,3,3,3,4,4,4,3,4,3,4,3,4,4,2,2,4,3,60
