course,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
"Tokyo - Hard",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,2,55
"Upside Town",3,3,3,3,3,4,3,3,4,4,3,2,3,4,3,4,3,3,58
"Upside Town - Hard",3,4,4,4,3,4,3,3,4,5,3,3,3,4,4,3,3,3,63
"Venice",3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,58
"Venice - Hard",3,3,3,3,3,5,4,3,3,3,3,4,3,4,3,3,3,4,60
"Viva Las Elvis",3,3,3,3,4,4,3,3,4,3,3,3,3,2,3,3,4,3,57
"Wallace and Gromit",3,3,3,2,4,3,3,3,4,2,2,4,3,2,3,3,3,5,55
"Wallace and Gromit - Hard",2,3,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,4,55
"Widow's Walkabout",3,3,3,3,4,4,3,3,5,3,4,3,4,4,3,2,3,4,61
"Widow's Walkabout - Hard",3,3,3,3,4,4,4,3,4,3,4,3,4,4,2,2,4,3,60
